uploader_name,uploader_mid,uploader_pic,type_id,type_name,link,bvid,title,description,pic,view_count,danmaku_count,favorites_count,tag,review_count,send_date,duration,like_count,pub_seconds_ago
语格yoga,44181867,https://i0.hdslb.com/bfs/face/25e895b557fb5c8a0da0630f98132f27ddf8f8a8.jpg,164,健身,http://www.bilibili.com/video/av114755100548242,BV1LrK6zuE5f,春丽姐姐的一字马还是那么能打动人心,-,//i2.hdslb.com/bfs/archive/7eaba3e2914bf0a4f3ee166906c523e5272bbb3e.jpg,127569,30,6755,"美女,健身,女神,街霸,春丽,一字马,塑形,哔须有此行,旅行攻略UP主激励计划",168,1751025775,8,6298,487900
自律一只猫,521512588,https://i1.hdslb.com/bfs/face/a6508d07309c7a7a5a6e591969671fda14242857.jpg,164,健身,http://www.bilibili.com/video/av1653310855,BV18E421M7Nz,古法健身太牛了🔥更适合华人体质‼️气血足，百病不生【15分钟加长版跟练】每天一遍全身通透，身体由内而外的改变，心情也会开心许多~,"♥️白天昏昏沉沉经络不通，减肥总失败！快试试这套古法健身（随着年龄增长代谢速度减慢，体内很容易滞留垃圾形成湿气，导致身体乏累、易困易胖，长期以往形成一个恶性循环。）

♥️古人很早就知道运动保健的重要性，气血足，百病不生！15个动作以多关节功能训练为主，强调对身体的控制能力来稳定深层肌群，找回我们生长过程中逐渐退化的功能（平衡性|稳定性|柔韧性|灵活性|协调性），从而停止错误代偿、停止疼痛，调整不良体态！

♥️一遍抻筋拔骨，气血充盈～",//i0.hdslb.com/bfs/archive/a4782aef4885854d1de6d609700a5ec0f2172297.jpg,3469738,2094,225953,"健身,健身操,锻炼,长高运动,古法养生,塑形瘦身,全程站立,健身跟练上B站,跑出好心情,春日生命力，健身给的,健身人的夏天已开始",2386,1713519005,907,55946,37994670
Jo姐-growwithjo,1462582672,https://i1.hdslb.com/bfs/face/c010cb7909f6e9d4e029308e6d9ef5cb678d9427.jpg,164,健身,http://www.bilibili.com/video/av811785234,BV1Y34y1E7gB,【Jo的HIIT的燃脂训练】30min｜无跳跃 无下蹲,"我知道有很多伙伴们住在公寓不方便跳跃怕吵到邻居，或者担心下蹲动作对膝盖有所损伤，今天训练完美解决了这些问题！没有下蹲，没有跳跃只是听着音乐安安静静的训练。非常适合新手！！排除这些问题你只需要调整呼吸，注意补充水分开始训练了～
训练包括：5min热身，20minHIIT训练，5分钟冷却拉伸。我知道你已经迫不及待的要开始了！",//i1.hdslb.com/bfs/archive/e4c42f8395bd0f9a9d780f97764fc912b7d3c4dc.jpg,9864001,23083,693371,"打造我的好身材,打卡挑战,大基数减重,HIIT,塑形,有氧运动",6750,1653474272,1803,114268,98039403
Jo姐-growwithjo,1462582672,https://i1.hdslb.com/bfs/face/c010cb7909f6e9d4e029308e6d9ef5cb678d9427.jpg,164,健身,http://www.bilibili.com/video/av426006021,BV193411N7Ew,【jo的踏步燃脂训练】5000步 30min 无负重 无重复 膝盖友好,"Jo姐的踏步燃脂训练来啦～没动力健身？从踏步开始！ 
今天的训练有点不同。每次踏步锻炼的间隔会有一点改变，会尽量保持状态为接下来的锻炼做准备！使训练更快更高效 并以新的方式挑战你的耐力和力量。不要放弃 记得始终保持平稳的呼吸，呼吸可以为肌肉提供锻炼所需的能量，同时也可以减少脂肪。整个训练大概5分钟热身 然后开始全身训练接着是拉伸。大概每个部分5分钟 上半身 下半身 腹肌 心血管耐力都会有所锻炼。不用担心难以坚持。中途会喝水休息保持水分，所以你只需要尽最大努力去做！付出会有回报的～",//i0.hdslb.com/bfs/archive/8539d89ce9ef2976d50dd0791b12a631ae2ffa0a.jpg,13891591,44136,985743,"100种甩脂方法,大基数减重,新手,减脂,易坚持",13936,1652407983,1939,201487,99105692
飞特那斯,270885164,https://i2.hdslb.com/bfs/face/ad422c04e9366e48ced9d8e34cdaf0da75e1941b.jpg,164,健身,http://www.bilibili.com/video/av826766581,BV13g4y1F7TG,男女必练的凯格尔运动（跟练版），效果强过深蹲,今天的凯格尔运动可以有效增强盆底肌肉，也被证明可以增强男生和女生的骨盆肌肉和改善血流量。这几个运动可以帮助男性，血液流向骨盆区域，增加骨盆底肌肉的张力，拥有更好的体验，同时帮助女生改善松弛问题。,//i0.hdslb.com/bfs/archive/9f6a668adb7964cd2d8557d5d076ab0f7476fa16.jpg,4739733,13767,409012,"健身,凯格尔运动,促睾,凯格尔,运动跟练,凯格尔训练,夏日·热汗燃脂季,毕业健身行动派",9859,1685726963,1606,115620,65786712
香菜酱er,695600758,https://i1.hdslb.com/bfs/face/a47db9f1f580a9bbfc743824e71ace66954c8699.jpg,164,健身,http://www.bilibili.com/video/av1556309271,BV1L142187A4,【30min燃脂合集】反馈最多的高效瘦身操！三伏天逆袭！跳这一个就够了！,-,//i1.hdslb.com/bfs/archive/59dee0430b3a64db09d386bed1e8043b13a6e99a.jpg,2566494,32,101150,"健身,减肥,训练,燃脂,站立,减脂,全身拉伸,塑形瘦身,运动合集,我和我的健身“搭子”",77,1722836723,2002,8936,28676952
pipi-萍萍,269558,https://i2.hdslb.com/bfs/baselabs/de54fb647a8b077f4af97af50963b3df232dcfc9.png,238,运动综合,http://www.bilibili.com/video/av114777145743931,BV1cwgDznEKF,没有点赞没有三连的年代，他们凭什么坚持30年？看完治好了我的流量内耗,"《热雪中国三十年》揭开“长期主义者”共同灵魂密码，如果你也相信“热爱可抵岁月漫长”
强烈推荐大家去看完整版纪录片：https://www.bilibili.com/video/BV1onNWz9EVr/?spm_id_from=333.337.search-card.all.click&amp;vd_source=b6eefcde441c0685d24b0f9db6b82edc 
由人民体育x热雪奇迹联合出品，聚焦罕见中国滑雪发展的纪录片，独家收录大量从未曝光的珍贵历史画面和初代滑雪人口述秘辛，填补时代记忆空白，",//i0.hdslb.com/bfs/archive/abce9ef6133366fb86961bffd423c44580952d83.jpg,34722,116,409,"纪录片,滑雪,UP主的共鸣,冰雪运动,人物故事,阿B我想玩户外,创作者精神,热雪中国",130,1751420424,228,2382,93251
金克丝东,516026909,https://i2.hdslb.com/bfs/face/bcde0fdf79d8d82f564bdb928fe71137458cf41d.jpg,164,健身,http://www.bilibili.com/video/av114658715437168,BV1BBM3zvEPL,再懒也要练的凯格尔运动,-,//i1.hdslb.com/bfs/archive/37fb3e6899760a17e4a5baffd1a7b2faace531f5.jpg,280980,100,7149,"健身,肌肉,训练,凯格尔运动,哔需练练2.0,夏日燃脂进行时",292,1750033905,58,5617,1479770
户外平头哥,445720962,https://i0.hdslb.com/bfs/face/fb1e64bb44de118d794c5adedccdd66ed608af9b.jpg,238,运动综合,http://www.bilibili.com/video/av1706214939,BV1bT421k7ch,非洲（马达加斯加）荒岛生存第一集，经过修整，横跨一万多公里，来到印度洋西侧，神秘而又古老的非洲大陆，开启新的一期荒岛生存挑战#户外#荒岛生存,非洲（马达加斯加）荒岛生存第一集，经过修整，横跨一万多公里，来到印度洋西侧，神秘而又古老的非洲大陆，开启新的一期荒岛生存挑战#户外#荒岛生存,//i0.hdslb.com/bfs/archive/5add1a86d8bb4477278746c1c359ddd866dffcc4.jpg,5950984,4553,49715,"荒野求生,非洲,潜水,户外,荒岛生存",1405,1720624939,628,182503,30888736
Super小武_,326941119,https://i0.hdslb.com/bfs/face/daff2d0c0727473114b3378d8c9e993e253f582e.jpg,164,健身,http://www.bilibili.com/video/av1606391127,BV1em42137Aw,让健美圈看看纯街健能练出多恶心的肌肉🤪,,//i2.hdslb.com/bfs/archive/1705dd8f17fe9352d24c5cc0b45213693fbb0986.jpg,2682252,1236,13810,"肌肉,健美,背肌,街头健身,街健,精神氮泵,鬼背,健身跟练上B站,健身整花活儿",3489,1723656368,103,113419,27857307
